Judul,Tanggal
"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura",25/10/2022
Waspadai Resistensi Antibiotik Saat Sakit,25/10/2022
"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",25/10/2022
"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya",25/10/2022
"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",25/10/2022
"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",25/10/2022
"Semakin Masif, Komunikasi Capres Harus Hindari Politik Identitas",25/10/2022
SDGs Center UNAIR Gelar Workshop Peningkatan Reputasi dan Kualitas Impact,25/10/2022
"Gagas Inkubator Telur Ikan Bawal Tawar, Mahasiswa UNAIR Raih Juara II Lomba Inovasi Akuakultur Tingkat Nasional",25/10/2022
Alumni FKH UNAIR Ciptakan Vitamin Chubby Gummy Pertama di Indonesia,25/10/2022
Kepatuhan dan Konsistensi Jadi Kunci Keberhasilan Terapi Depresi,25/10/2022
Seminar FH UNAIR Refleksikan Prospek Lelang Eksekusi Hak Tanggungan dengan Final and Binding,25/10/2022
"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura",25/10/2022
Waspadai Resistensi Antibiotik Saat Sakit,25/10/2022
"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",25/10/2022
"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya",25/10/2022
"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",25/10/2022
"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara",25/10/2022
"Semakin Masif, Komunikasi Capres Harus Hindari Politik Identitas",25/10/2022
SDGs Center UNAIR Gelar Workshop Peningkatan Reputasi dan Kualitas Impact,25/10/2022
"Gagas Inkubator Telur Ikan Bawal Tawar, Mahasiswa UNAIR Raih Juara II Lomba Inovasi Akuakultur Tingkat Nasional",25/10/2022
Alumni FKH UNAIR Ciptakan Vitamin Chubby Gummy Pertama di Indonesia,25/10/2022
Kepatuhan dan Konsistensi Jadi Kunci Keberhasilan Terapi Depresi,25/10/2022
Seminar FH UNAIR Refleksikan Prospek Lelang Eksekusi Hak Tanggungan dengan Final and Binding,25/10/2022
Waspadai Gangguan Ginjal Akut pada Anak,25/10/2022
Tantangan Bonus Demografi Indonesia dan Pembangunan Berkelanjutan,24/10/2022
"Kuliah Tamu Sekolah Pascasarjana UNAIR, Direktur Institut KAPAL Perempuan Jelaskan Metode Penerapan Feminisme",24/10/2022
SIKIA UNAIR Bangkitkan Bioteknologi Perikanan lewat KONASKAN 2022,24/10/2022
GENCorps FKp UNAIR Lestarikan Lingkungan Tebar Kepedulian,24/10/2022
Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,24/10/2022
"Kupas Novel Aib dan Nasib, Dosen UNAIR Sampaikan Empat Hal Penting",24/10/2022
Kuliah Tamu FIB Dukung Mahasiswa Merintis Bisnis,24/10/2022
Strategi Kepemimpinan dalam Hadapi Tantangan Krisis Ekonomi,24/10/2022
Delegasi MYMA FH UNAIR Sabet Juara Dua dalam LKTI Parahyangan Legal Competition 5.0,23/10/2022
"Hari Santri, Warek SD UNAIR Jelaskan Peran Santri dalam Bidang Ekologi",23/10/2022
